Name;Price;Km;Etat;Date;Carburant;Note;Number of reviews;"Accoudoir

";Assistant de démarrage en côte;"Capteurs d'aide au stationnement arrière
";Capteurs d'aide au stationnement avant;Climatisation;Climatisation automatique;Détecteur de lumière;Détecteur de pluie; Régulateur de vitesse; Rétroviseurs latéraux électriques; Sièges électriques;Start/Stop automatique;Système de navigation;Vitres électriques;Volant en cuir;Volant multifonctions
BMW 320 SERIE 3 TOURING E91 Touring 163ch pack M sport;EUR 2 500,-;540 000 km;Occasion, Historique entretien;01/2006;Diesel;N/A;0;True;False;False;False;True;True;True;True;True;True;False;False;False;True;True;True
BMW X3 2.0d (E83);EUR 2 850,-;292 000 km;Occasion;09/2005;Diesel;N/A;0;True;True;False;False;True;True;False;True;True;True;False;False;True;True;True;True
BMW 525 SERIE 5 (05/1996-07/2000);"EUR 3.490,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 2 990,-";246 000 km;Occasion;06/1998;Diesel;N/A;0;True;False;True;False;True;False;False;False;True;True;False;False;False;True;True;True
BMW 118 SERIE 1 E87 (05/2004-03/2007);EUR 3 790,-;275 000 km;Occasion;01/2007;Diesel;N/A;0;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False
BMW Pack PrÃ©fÃ©rence;EUR 4 490,-;230 000 km;Occasion;02/2021;Essence;N/A;0;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False
BMW 745 (E65) 745IA 333CH;EUR 4 990,-;999 999 km;Occasion;07/2002;Essence;3.5;-2;False;False;False;False;True;True;False;False;True;False;False;False;True;False;False;False
BMW 525d 177 E60 BVA;EUR 5 490,-;249 000 km;Occasion;03/2005;Diesel / Diesel écologique;N/A;0;True;False;False;False;False;False;False;True;True;False;True;False;False;False;False;True
BMW 320 SERIE 3 163ch Confort;EUR 5 490,-;279 850 km;Occasion;09/2006;Diesel;N/A;0;True;False;False;False;True;True;True;True;True;True;False;False;False;True;True;True
BMW Pack Business A;EUR 5 490,-;183 000 km;Occasion;04/2004;Essence;N/A;0;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False
BMW Pack A;EUR 5 990,-;143 000 km;Occasion;03/1996;Essence;N/A;0;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False
BMW Pack Luxe;EUR 5 990,-;188 600 km;Occasion;08/1998;Essence;N/A;0;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False
BMW 116 D 120 LUXE BVA;EUR 6 490,-;177 400 km;Occasion;04/2006;Diesel / Diesel écologique;N/A;0;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True
BMW 118 SERIE 1 E87 LCI (03/2007-09/2011) 143 ch Confort;EUR 6 790,-;179 000 km;Occasion;03/2008;Essence;N/A;0;True;False;False;False;True;True;True;True;True;True;False;False;False;True;True;True
BMW 118 SERIE 1 Pack M;EUR 6 990,-;128 000 km;Occasion;01/2006;Diesel;N/A;0;True;False;False;False;True;True;True;True;True;True;True;False;False;True;True;True
BMW A;EUR 6 990,-;383 000 km;Occasion;12/1994;Essence;N/A;0;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False
BMW 316 318 D 145 CONFORT;EUR 7 490,-;191 032 km;Occasion;05/2010;Diesel / Diesel écologique;N/A;0;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True
BMW 320 d Touring BVA;"EUR 8.190,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 7 500,-";121 854 km;Occasion;04/2007;Diesel;N/A;0;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False
BMW 116 Série 1 (E87) LCI 118d 2.0 d 16V 143cv Boîte aut;EUR 7 990,-;150 000 km;Occasion;03/2010;Diesel / Diesel écologique;5.0;-3;True;False;False;False;True;True;False;True;True;False;False;False;False;True;False;True
BMW 633 csi;EUR 8 300,-;186 100 km;Ancêtre;06/1978;Essence;N/A;0;;;;;;;;;;;;;;;;
BMW 116 116D 115cv F21 Sport Edition 5 portes;EUR 8 650,-;197 000 km;Occasion;01/2013;Diesel / Diesel écologique;5.0;-2;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True
BMW 318 (E46) 318CI 143CH;EUR 8 980,-;100 256 km;Occasion;06/2003;Essence;N/A;0;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False
BMW 316 SERIE 3;EUR 8 990,-;132 000 km;Occasion;08/2012;Diesel;N/A;0;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True
BMW 120 D 177 ch COUPE E82 Luxe;EUR 9 250,-;176 750 km;Occasion;04/2008;Diesel;5.0;-2;True;False;True;False;False;False;True;True;True;True;False;False;False;True;True;True
BMW 320 BMW 320d 163cv pack M;EUR 9 490,-;122 350 km;Occasion;01/2010;Diesel (Filtre à particules);N/A;0;True;False;True;False;True;True;True;True;True;True;False;False;True;True;True;True
BMW 320 SERIE 3 COUPE E92 Coupé 170ch C;EUR 9 590,-;97 610 km;Occasion;01/2008;Essence;N/A;0;True;False;False;False;True;True;True;True;True;True;False;False;False;True;True;True
BMW 520 I LUXE SPORT;"EUR 10.490,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 9 990,-";101 196 km;Occasion, Historique entretien;02/2008;Essence;N/A;0;True;False;True;True;True;True;True;True;True;False;True;False;True;False;False;True
BMW 520d;EUR 9 990,-;177 916 km;Occasion;09/2010;Diesel;N/A;0;;;;;;;;;;;;;;;;
BMW 520d;EUR 9 990,-;177 916 km;Occasion;09/2010;Diesel;N/A;0;;;;;;;;;;;;;;;;
BMW 120 (E88) Cabriolet 120d 2.0 d 177 ch LUXE;EUR 10 790,-;115 950 km;Occasion;09/2010;Diesel;5.0;-1;True;False;True;False;True;True;True;True;True;True;False;False;False;True;True;True
BMW 116 116D LOUNGE 5P;EUR 10 980,-;142 700 km;Occasion;04/2016;Diesel;5.0;-1;;;;;;;;;;;;;;;;
BMW 116 SERIE 1 F20 (07/2011-03/2015) 136 ch UrbanLife;EUR 10 990,-;125 450 km;Occasion;10/2012;Essence;N/A;0;True;False;True;True;True;True;True;True;True;True;False;False;False;True;True;True
BMW 320 SERIE 3 TOURING F31 184 ch 123 g Business;EUR 11 799,-;154 672 km;Occasion, Historique entretien;01/2014;Diesel (Filtre à particules);N/A;0;True;False;False;False;True;True;False;True;False;True;False;False;False;True;True;True
BMW X1 XDRIVE20D 177 EXECUTIVE;EUR 11 980,-;139 614 km;Occasion;04/2012;Diesel;5.0;-1;;;;;;;;;;;;;;;;
BMW 320 (E92) 320XDA 184CH LUXE;EUR 11 990,-;168 914 km;Occasion;12/2011;Diesel;N/A;0;False;False;True;False;False;False;False;False;True;True;False;False;True;True;False;True
BMW 320 SERIE 3 TOURING F31 184 ch Modern A;EUR 11 999,-;167 698 km;Occasion, Historique entretien;09/2012;Diesel;N/A;0;True;False;True;True;True;True;True;True;True;True;False;False;True;True;True;True
BMW 114 114d 95ch Business 5p;EUR 12 490,-;89 434 km;Occasion;09/2015;Diesel;N/A;0;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True
BMW 118 CABRIOLET E88 (2008/2011) 143 ch Luxe;EUR 12 900,-;100 600 km;Occasion, Historique entretien;12/2008;Essence;N/A;0;True;False;True;False;True;True;True;True;True;True;False;True;False;True;True;True
BMW 318 318i 143ch Luxe;EUR 12 990,-;63 045 km;Occasion;06/2009;Essence;2.5;-1;False;False;True;False;True;True;False;False;True;True;False;False;True;True;False;False
BMW Business 318dA 150 BVA8;EUR 13 200,-;130 318 km;Occasion;09/2016;Diesel;4.0;-8;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False
BMW X1 E84 sDrive 18d 143 ch Luxe;EUR 13 990,-;104 202 km;Occasion;08/2011;Diesel (Filtre à particules);N/A;0;True;False;False;False;False;False;False;True;True;True;False;True;True;True;False;False
